FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.55,666.96,279.69,1543.32,583.77,1640.85,612.45,0,2048,1026,66.62,33.38,-1.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,192.2,0,417.39,0,1490.25,899.31,0,2048,1026,66.62,33.38,-2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125.65,3706.27,3221.47,1061.39,0,0,0,0,2047,1026,66.61,33.39,33.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.99,810.39,649.74,1580.61,532.13,2055.37,847.68,0,2047,1033,66.46,33.54,-14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,436.03,0,509.18,424.56,0,2047,1033,66.46,33.54,-24.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,388.7,0,428.86,322.72,0,1044,2046,33.79,66.21,7.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812.97,3585.78,3410.8,1147.45,0,0,0,0,1020,2046,33.27,66.73,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,314.11,0,2620.49,2086.93,0,1020,1023,49.93,50.07,-3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,246.7,0,1708.27,1521.81,0,1020,1023,49.93,50.07,-9.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072.58,3696.23,3188.48,1520.37,0,0,0,0,2048,1023,66.69,33.31,13.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
